0 0 0 0 0 | n0 n1
0 0 0 0 1 | n0 n2
0 0 0 1 0 | n0 n3
0 0 0 1 1 | n0 n4
0 0 1 0 0 | n0 n5
0 0 1 0 1 | n0 n6
0 0 1 1 0 | n0 n7
0 0 1 1 1 | n0 n8
0 1 0 0 0 | n0 n9
0 1 0 0 1 | n1 n0
0 1 0 1 0 | n1 n1
0 1 0 1 1 | n1 n2
0 1 1 0 0 | n1 n3
0 1 1 0 1 | n1 n4
0 1 1 1 0 | n1 n5
0 1 1 1 1 | n1 n6
1 0 0 0 0 | n1 n7
1 0 0 0 1 | n1 n8
1 0 0 1 0 | n1 n9
1 0 0 1 1 | n2 n0
1 0 1 0 0 | n2 n1
1 0 1 0 1 | n2 n2
1 0 1 1 0 | n2 n3
1 0 1 1 1 | n2 n4
1 1 0 0 0 | n2 n5
1 1 0 0 1 | n2 n6
1 1 0 1 0 | n2 n7
1 1 0 1 1 | n2 n8
1 1 1 0 0 | n2 n9
1 1 1 0 1 | n3 n0
1 1 1 1 0 | n3 n1
1 1 1 1 1 | n3 n2
